_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total
238,November,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,KIA,121,932,1053
239,November,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,LANSIA,20,607,627
240,November,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,PSIKOLOGI,18,35,53
241,November,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,RAWAT INAP,7,9,16
242,November,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,UMUM,450,1966,2416
243,November,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,BATRA,1,31,32
244,November,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,GIGI,46,381,427
245,November,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,GIZI,1,6,7
246,November,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,KIA,110,519,629
247,November,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,LANSIA,16,490,506
248,November,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,PSIKOLOGI,1,16,17
249,November,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,UMUM,347,1767,2114
250,November,Surabaya Barat,Sambikerep,Puskesmas Lontar,BATRA,8,73,81
251,November,Surabaya Barat,Sambikerep,Puskesmas Lontar,GIGI,58,342,400
252,November,Surabaya Barat,Sambikerep,Puskesmas Lontar,GIZI,0,11,11
253,November,Surabaya Barat,Sambikerep,Puskesmas Lontar,KIA,134,532,666
254,November,Surabaya Barat,Sambikerep,Puskesmas Lontar,LANSIA,24,391,415
255,November,Surabaya Barat,Sambikerep,Puskesmas Lontar,P2M,0,12,12
256,November,Surabaya Barat,Sambikerep,Puskesmas Lontar,PSIKOLOGI,5,17,22
257,November,Surabaya Barat,Sambikerep,Puskesmas Lontar,UMUM,313,1557,1870
258,November,Surabaya Barat,Sambikerep,Puskesmas Made,BATRA,1,18,19
259,November,Surabaya Barat,Sambikerep,Puskesmas Made,GIGI,23,266,289
260,November,Surabaya Barat,Sambikerep,Puskesmas Made,GIZI,0,15,15
261,November,Surabaya Barat,Sambikerep,Puskesmas Made,INSTALASI GAWAT DARURAT,0,1,1
262,November,Surabaya Barat,Sambikerep,Puskesmas Made,KIA,56,491,547
263,November,Surabaya Barat,Sambikerep,Puskesmas Made,LANSIA,8,242,250
264,November,Surabaya Barat,Sambikerep,Puskesmas Made,PSIKOLOGI,2,14,16
265,November,Surabaya Barat,Sambikerep,Puskesmas Made,UMUM,191,1327,1518
266,November,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,BATRA,2,69,71
267,November,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,GIGI,91,570,661
268,November,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,GIZI,14,45,59
269,November,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,INSTALASI GAWAT DARURAT,25,24,49
270,November,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,KIA,209,1095,1304
271,November,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,LANSIA,38,1278,1316
272,November,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,PSIKOLOGI,10,36,46
273,November,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,PTRM,1,45,46
274,November,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,RAWAT INAP,0,17,17
275,November,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,SANITASI,0,1,1
276,November,Surabaya Barat,Tandes,Puskesmas Manukan Kulon,UMUM,425,3130,3555
277,November,Surabaya Timur,Rungkut,Puskesmas Medokan Ayu,BATRA,8,154,162
278,November,Surabaya Timur,Rungkut,Puskesmas Medokan Ayu,GIGI,150,823,973
279,November,Surabaya Timur,Rungkut,Puskesmas Medokan Ayu,GIZI,2,28,30
280,November,Surabaya Timur,Rungkut,Puskesmas Medokan Ayu,INSTALASI GAWAT DARURAT,0,1,1
281,November,Surabaya Timur,Rungkut,Puskesmas Medokan Ayu,KIA,246,1196,1442
282,November,Surabaya Timur,Rungkut,Puskesmas Medokan Ayu,LANSIA,38,931,969
283,November,Surabaya Timur,Rungkut,Puskesmas Medokan Ayu,PSIKOLOGI,62,101,163
284,November,Surabaya Timur,Rungkut,Puskesmas Medokan Ayu,RAWAT INAP,18,105,123
285,November,Surabaya Timur,Rungkut,Puskesmas Medokan Ayu,SANITASI,0,1,1
286,November,Surabaya Timur,Rungkut,Puskesmas Medokan Ayu,UMUM,630,3097,3727
287,November,Surabaya Timur,Sukolilo,Puskesmas Menur,BATRA,0,97,97
288,November,Surabaya Timur,Sukolilo,Puskesmas Menur,GIGI,74,502,576
289,November,Surabaya Timur,Sukolilo,Puskesmas Menur,GIZI,3,7,10
290,November,Surabaya Timur,Sukolilo,Puskesmas Menur,KIA,110,580,690
291,November,Surabaya Timur,Sukolilo,Puskesmas Menur,LANSIA,18,811,829
292,November,Surabaya Timur,Sukolilo,Puskesmas Menur,PSIKOLOGI,3,19,22
293,November,Surabaya Timur,Sukolilo,Puskesmas Menur,UMUM,400,2025,2425
294,November,Surabaya Timur,Gubeng,Puskesmas Mojo,BATRA,2,72,74
295,November,Surabaya Timur,Gubeng,Puskesmas Mojo,GIGI,37,438,475
296,November,Surabaya Timur,Gubeng,Puskesmas Mojo,GIZI,1,1,2
297,November,Surabaya Timur,Gubeng,Puskesmas Mojo,KIA,135,590,725
298,November,Surabaya Timur,Gubeng,Puskesmas Mojo,LANSIA,18,849,867
299,November,Surabaya Timur,Gubeng,Puskesmas Mojo,MEDICAL CHECK UP,18,1017,1035
300,November,Surabaya Timur,Gubeng,Puskesmas Mojo,P2M,11,157,168
