_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total
216,September,Surabaya Timur,Sukolilo,Puskesmas Keputih,GIZI,0,4,4
217,September,Surabaya Timur,Sukolilo,Puskesmas Keputih,KIA,143,559,702
218,September,Surabaya Timur,Sukolilo,Puskesmas Keputih,LANSIA,7,258,265
219,September,Surabaya Timur,Sukolilo,Puskesmas Keputih,PSIKOLOGI,7,17,24
220,September,Surabaya Timur,Sukolilo,Puskesmas Keputih,UMUM,341,1444,1785
221,September,Surabaya Pusat,Genteng,Puskesmas Ketabang,BATRA,0,44,44
222,September,Surabaya Pusat,Genteng,Puskesmas Ketabang,GIGI,44,354,398
223,September,Surabaya Pusat,Genteng,Puskesmas Ketabang,GIZI,1,14,15
224,September,Surabaya Pusat,Genteng,Puskesmas Ketabang,KIA,64,380,444
225,September,Surabaya Pusat,Genteng,Puskesmas Ketabang,LANSIA,13,555,568
226,September,Surabaya Pusat,Genteng,Puskesmas Ketabang,PSIKOLOGI,0,7,7
227,September,Surabaya Pusat,Genteng,Puskesmas Ketabang,UMUM,274,1797,2071
228,September,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,BATRA,0,21,21
229,September,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,GIGI,42,426,468
230,September,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,GIZI,2,9,11
231,September,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,KIA,99,524,623
232,September,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,LANSIA,15,436,451
233,September,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,PSIKOLOGI,3,19,22
234,September,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,UMUM,331,1774,2105
235,September,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,BATRA,3,49,52
236,September,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,GIGI,27,275,302
237,September,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,GIZI,14,56,70
238,September,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,INSTALASI GAWAT DARURAT,47,160,207
239,September,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,KIA,115,947,1062
240,September,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,LANSIA,25,559,584
241,September,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,PSIKOLOGI,11,33,44
242,September,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,RAWAT INAP,11,19,30
243,September,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,UMUM,358,2025,2383
244,September,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,BATRA,1,39,40
245,September,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,GIGI,47,421,468
246,September,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,GIZI,1,2,3
247,September,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,INSTALASI GAWAT DARURAT,1,0,1
248,September,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,KIA,73,522,595
249,September,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,LANSIA,5,416,421
250,September,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,PSIKOLOGI,4,12,16
