_id,Bulan,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total
203,Januari,Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,PSIKOLOGI,5,18,23
204,Januari,Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,RAWAT INAP,2,0,2
205,Januari,Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,UMUM,655,3700,4355
206,Januari,Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,VCT,3,111,114
207,Januari,Surabaya Utara,Bulak,Puskesmas Kenjeran,BATRA,1,19,20
208,Januari,Surabaya Utara,Bulak,Puskesmas Kenjeran,GIGI,42,382,424
209,Januari,Surabaya Utara,Bulak,Puskesmas Kenjeran,GIZI,13,43,56
210,Januari,Surabaya Utara,Bulak,Puskesmas Kenjeran,KIA,136,609,745
211,Januari,Surabaya Utara,Bulak,Puskesmas Kenjeran,PSIKOLOGI,6,35,41
212,Januari,Surabaya Utara,Bulak,Puskesmas Kenjeran,UMUM,374,2971,3345
213,Januari,Surabaya Timur,Sukolilo,Puskesmas Keputih,BATRA,0,10,10
214,Januari,Surabaya Timur,Sukolilo,Puskesmas Keputih,GIGI,36,275,311
215,Januari,Surabaya Timur,Sukolilo,Puskesmas Keputih,GIZI,1,2,3
216,Januari,Surabaya Timur,Sukolilo,Puskesmas Keputih,KIA,108,522,630
217,Januari,Surabaya Timur,Sukolilo,Puskesmas Keputih,LANSIA,4,261,265
218,Januari,Surabaya Timur,Sukolilo,Puskesmas Keputih,PSIKOLOGI,3,6,9
219,Januari,Surabaya Timur,Sukolilo,Puskesmas Keputih,UMUM,468,1815,2283
220,Januari,Surabaya Pusat,Genteng,Puskesmas Ketabang,BATRA,7,59,66
221,Januari,Surabaya Pusat,Genteng,Puskesmas Ketabang,GIGI,38,330,368
222,Januari,Surabaya Pusat,Genteng,Puskesmas Ketabang,GIZI,0,4,4
223,Januari,Surabaya Pusat,Genteng,Puskesmas Ketabang,INSTALASI GAWAT DARURAT,0,1,1
224,Januari,Surabaya Pusat,Genteng,Puskesmas Ketabang,KIA,65,341,406
225,Januari,Surabaya Pusat,Genteng,Puskesmas Ketabang,LANSIA,6,395,401
226,Januari,Surabaya Pusat,Genteng,Puskesmas Ketabang,PSIKOLOGI,1,2,3
227,Januari,Surabaya Pusat,Genteng,Puskesmas Ketabang,UMUM,319,2052,2371
228,Januari,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,BATRA,0,15,15
229,Januari,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,GIGI,44,434,478
230,Januari,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,GIZI,1,13,14
231,Januari,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,KIA,70,465,535
232,Januari,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,LANSIA,12,426,438
233,Januari,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,PSIKOLOGI,3,21,24
234,Januari,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,UMUM,369,1895,2264
235,Januari,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,ANAK,11,41,52
236,Januari,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,BATRA,2,34,36
237,Januari,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,GIGI,26,301,327
238,Januari,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,GIZI,23,68,91
239,Januari,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,INSTALASI GAWAT DARURAT,59,153,212
240,Januari,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,KIA,91,849,940
241,Januari,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,LANSIA,19,544,563
242,Januari,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,PSIKOLOGI,23,43,66
243,Januari,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,RAWAT INAP,9,16,25
244,Januari,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,TUMBUH KEMBANG,1,14,15
245,Januari,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,UMUM,421,2707,3128
246,Januari,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,BATRA,1,27,28
247,Januari,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,GIGI,41,388,429
248,Januari,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,GIZI,1,7,8
249,Januari,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,KIA,67,510,577
250,Januari,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,LANSIA,13,407,420
251,Januari,Surabaya Barat,Lakarsantri,Puskesmas Lidah Kulon,PSIKOLOGI,4,16,20
