_id,Bulan,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total
165,Desember,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,GIGI,61,404,465
166,Desember,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,GIGI SPESIALIS ,2,456,458
167,Desember,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,GIZI,17,74,91
168,Desember,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,KIA,138,941,1079
169,Desember,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,LANSIA,16,864,880
170,Desember,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,PARU,1,108,109
171,Desember,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,PKPR,0,1,1
172,Desember,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,PSIKOLOGI,23,67,90
173,Desember,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,UMUM,597,3271,3868
174,Desember,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,ANAK,53,478,531
175,Desember,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,BATRA,0,77,77
176,Desember,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,GIGI,42,348,390
177,Desember,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,GIZI,1,6,7
178,Desember,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,INSTALASI GAWAT DARURAT,56,109,165
179,Desember,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,KIA,81,503,584
180,Desember,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,LANSIA,21,647,668
181,Desember,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,MEDICAL CHECK UP,21,23,44
182,Desember,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,P2M,1,72,73
183,Desember,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,PSIKOLOGI,13,30,43
184,Desember,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,RAWAT INAP,3,4,7
185,Desember,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,UMUM,239,2463,2702
186,Desember,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,VAKSIN D1,251,557,808
187,Desember,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,BATRA,6,104,110
188,Desember,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,GIGI,23,404,427
189,Desember,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,GIZI,1,11,12
190,Desember,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,INSTALASI GAWAT DARURAT,2,0,2
191,Desember,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,KIA,110,629,739
192,Desember,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,PARU,0,72,72
193,Desember,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,PSIKOLOGI,4,18,22
194,Desember,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,UMUM,372,3935,4307
195,Desember,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,VCT,64,310,374
196,Desember,Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,BATRA,0,34,34
197,Desember,Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,GIGI,82,585,667
198,Desember,Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,GIZI,19,50,69
199,Desember,Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,INSTALASI GAWAT DARURAT,18,23,41
200,Desember,Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,KIA,219,971,1190
201,Desember,Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,LANSIA,52,1314,1366
202,Desember,Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,PARU,0,43,43
203,Desember,Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,PSIKOLOGI,5,18,23
204,Desember,Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,RAWAT INAP,2,0,2
205,Desember,Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,UMUM,655,3700,4355
206,Desember,Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,VCT,3,111,114
207,Desember,Surabaya Utara,Bulak,Puskesmas Kenjeran,BATRA,1,19,20
208,Desember,Surabaya Utara,Bulak,Puskesmas Kenjeran,GIGI,42,382,424
209,Desember,Surabaya Utara,Bulak,Puskesmas Kenjeran,GIZI,13,43,56
210,Desember,Surabaya Utara,Bulak,Puskesmas Kenjeran,KIA,136,609,745
211,Desember,Surabaya Utara,Bulak,Puskesmas Kenjeran,PSIKOLOGI,6,35,41
212,Desember,Surabaya Utara,Bulak,Puskesmas Kenjeran,UMUM,374,2971,3345
213,Desember,Surabaya Timur,Sukolilo,Puskesmas Keputih,BATRA,0,10,10
214,Desember,Surabaya Timur,Sukolilo,Puskesmas Keputih,GIGI,36,275,311
215,Desember,Surabaya Timur,Sukolilo,Puskesmas Keputih,GIZI,1,2,3
216,Desember,Surabaya Timur,Sukolilo,Puskesmas Keputih,KIA,108,522,630
217,Desember,Surabaya Timur,Sukolilo,Puskesmas Keputih,LANSIA,4,261,265
218,Desember,Surabaya Timur,Sukolilo,Puskesmas Keputih,PSIKOLOGI,3,6,9
219,Desember,Surabaya Timur,Sukolilo,Puskesmas Keputih,UMUM,468,1815,2283
220,Desember,Surabaya Pusat,Genteng,Puskesmas Ketabang,BATRA,7,59,66
221,Desember,Surabaya Pusat,Genteng,Puskesmas Ketabang,GIGI,38,330,368
222,Desember,Surabaya Pusat,Genteng,Puskesmas Ketabang,GIZI,0,4,4
223,Desember,Surabaya Pusat,Genteng,Puskesmas Ketabang,INSTALASI GAWAT DARURAT,0,1,1
