_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total
148,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,BATRA,2,14,16
149,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,GIGI,85,321,406
150,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,GIZI,5,23,28
151,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,INSTALASI GAWAT DARURAT,3,1,4
152,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,KIA,39,242,281
153,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,LANSIA,9,356,365
154,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,PSIKOLOGI,5,20,25
155,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,SANITASI,0,1,1
156,Agustus,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,UMUM,311,1897,2208
157,Agustus,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,ANAK,27,317,344
158,Agustus,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,BATRA,6,53,59
159,Agustus,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,GIGI,43,354,397
160,Agustus,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,GIZI,1,12,13
161,Agustus,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,KIA,79,339,418
162,Agustus,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,LANSIA,16,461,477
163,Agustus,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,P2M,1,53,54
164,Agustus,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,PSIKOLOGI,1,9,10
165,Agustus,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,UMUM,220,1401,1621
166,Agustus,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,BATRA,3,123,126
167,Agustus,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,GIGI,59,396,455
168,Agustus,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,GIGI SPESIALIS ,7,460,467
169,Agustus,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,GIZI,14,55,69
170,Agustus,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,KIA,165,1109,1274
171,Agustus,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,LANSIA,10,836,846
172,Agustus,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,PARU,0,67,67
173,Agustus,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,PSIKOLOGI,17,47,64
174,Agustus,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,SANITASI,0,3,3
175,Agustus,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,UMUM,324,2730,3054
176,Agustus,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,ANAK,68,480,548
177,Agustus,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,BATRA,1,112,113
178,Agustus,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,GIGI,62,338,400
179,Agustus,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,GIZI,3,6,9
180,Agustus,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,INSTALASI GAWAT DARURAT,46,69,115
181,Agustus,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,KIA,98,704,802
182,Agustus,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,LANSIA,28,673,701
183,Agustus,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,MEDICAL CHECK UP,40,48,88
184,Agustus,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,P2M,4,74,78
185,Agustus,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,PSIKOLOGI,32,35,67
186,Agustus,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,RAWAT INAP,4,22,26
187,Agustus,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,UMUM,366,2660,3026
188,Agustus,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,BATRA,5,119,124
189,Agustus,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,GIGI,47,430,477
190,Agustus,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,GIZI,11,32,43
191,Agustus,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,INSTALASI GAWAT DARURAT,20,373,393
192,Agustus,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,KIA,128,669,797
193,Agustus,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,PARU,5,73,78
194,Agustus,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,PSIKOLOGI,13,34,47
195,Agustus,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,SANITASI,2,10,12
196,Agustus,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,UMUM,245,2640,2885
197,Agustus,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,VCT,50,289,339
198,Agustus,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,BATRA,2,61,63
199,Agustus,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,GIGI,91,495,586
200,Agustus,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,GIZI,23,78,101
201,Agustus,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,INSTALASI GAWAT DARURAT,20,20,40
202,Agustus,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,KIA,268,1118,1386
203,Agustus,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,LANSIA,70,1386,1456
204,Agustus,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,PARU,0,54,54
205,Agustus,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,PSIKOLOGI,4,30,34
206,Agustus,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,RAWAT INAP,6,3,9
207,Agustus,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,SANITASI,0,1,1
208,Agustus,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,UMUM,402,2560,2962
209,Agustus,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,VCT,6,105,111
210,Agustus,Surabaya Utara,Bulak,Puskesmas Kenjeran,BATRA,0,18,18
211,Agustus,Surabaya Utara,Bulak,Puskesmas Kenjeran,GIGI,61,345,406
212,Agustus,Surabaya Utara,Bulak,Puskesmas Kenjeran,GIZI,8,42,50
213,Agustus,Surabaya Utara,Bulak,Puskesmas Kenjeran,INSTALASI GAWAT DARURAT,1,0,1
214,Agustus,Surabaya Utara,Bulak,Puskesmas Kenjeran,KIA,127,697,824
